Fecha,Localidad,Latitud,Longitud,Víctima de la agresión,Candidatura ,Cargo ,Fuerza polítca del agredido(a),Presunto agresor denunciado,Fuerza politica del agresor(a) ,Tipo de agresión,Descripción,Intervención autoridades,Fuente,URL de la fuente 
27/05/2024,Puebla,1.904.143,-9.820.627,N/A,N/A,N/A,N/A,N/A,N/A,Delito Electoral,Robo de 2 mil boletas electorales,Sí,El Economista,https://www.eleconomista.com.mx/politica/Roban-mas-de-2000-boletas-electorales-en-Puebla-20240529-0012.html
27/05/2024,San Cristóbal de las Casas,1.673.703,-9.263.761,N/A,N/A,N/A,N/A,N/A,N/A,Delito Electoral,"Juan ""N"", de 38 años, fue detenido en San Cristóbal de las Casas, Chiapas, al interior de una papelería donde presuntamente fotocopiaba boletas electorales. El IEPC aclaró que las boletas eran falsas. ",Sí,La Jornada,https://www.jornada.com.mx/noticia/2024/05/27/estados/detienen-a-hombre-en-posesion-de-boletas-electorales-en-chiapas-8143
27/05/2024,Xalapa,1.954.259,-9.691.373,N/A,N/A,N/A,PRD,N/A,N/A,Delito Electoral,El PRD denunció ante el consejo general del Organismo Público Local Electoral el robo de dos boletas. ,Sí,La Silla Rota,https://lasillarota.com/veracruz/estado/2024/5/28/desaparecen-boletas-en-distrito-electoral-de-xalapa-para-votaciones-en-veracruz-484835.html
27/05/2024,Coyoacán,1.934.374,-9.915.618,N/A,N/A,N/A,N/A,N/A,N/A,Delito Electoral,La Fepade llevó a cabo un cateo en una casa de la alcaldía de Coyoacán donde presuntamente se compraban votos,Sí,X/@Fepade_CDMX,https://x.com/FEPADE_CDMX/status/1795270328790454463
27/05/2024,Teolocholco,1.923.965,-9.818.576,Valentín Méndez Tecuapacho,Presidente Municipal ,N/A,PT,N/A,Morena,Agresión Armada,"Durante el cierre de campaña de Valentín Meléndez Tecuapacho, candidato a la alcaldía de Teolocholco, Tlaxcala, por el PT, se generó una balacera que inicialmente fue atribuida a sus oponentes de Morena, pero después se retractó. ",Sí,Quadratin Tlaxcala,https://tlaxcala.quadratin.com.mx/principal/balacera-en-teolocholco-no-fue-rina-entre-pt-y-morena-melendez-tecuapacho/
27/05/2024,Monterrey,2.568.661,-10.031.611,N/A,N/A,N/A,MC,Sandra Pámanes,Fuerza y corazón por México,Delito Electoral,"Movimiento Ciudadano presentó una denuncia ante la Fiscalía Especializada en Delitos Electorales (FEDE) en contra de Sandra Pámanes, candidata a diputada local por la coalición ""Fuerza y corazón por México"" por presunta compra de votos. ",Sí,ABC Noticias,https://abcnoticias.mx/local/2024/5/27/mariana-rodriguez-integrantes-de-mc-denuncian-perla-villarreal-por-presunta-compra-de-votos-217313.html
27/05/2024,Puebla,1.905.113,-98.175,José Chedraui,Presidente municipal,N/A,Sigamos haciendo historia,N/A,N/A,Agresión con explosivos,"Sujetos arrojaron explosivos caseros, conocidos como bombas molotov, contra las oficinas de José ""Pepe"" Chedraui, candidato a alcaldía de Puebla por la coalición ""Sigamos haciendo historia"".",N/A,Milenio,https://www.milenio.com/politica/elecciones/pepe-chedraui-lanzan-bombas-molotov-casa-campana-puebla
27/05/2024,Acapulco ,1.686.395,-9.988.228,Abelina López,Presidente municipal,N/A,Morena,N/A,N/A,Violencia política de género," Un grupo de mujeres conformado por regidoras, lideresas y gestoras sociales pidieron al Instituto Electoral de Participación Ciudadana (IEPC) de Guerrero denunciaron que Abelina López, candidata de Morena a la alcaldía de Acapulco, fue víctima de violencia política de género en el último debate. ",N/A,Sur Acapulco,https://suracapulco.mx/alto-a-la-violencia-politica-de-genero-contra-abelina-piden-mujeres-de-su-campana/
28/05/2024,Coapilla,1.713.063,-9.316.018,Lenin Pérez,Presidente municipal ,N/A,PRD,N/A,N/A,Agresión armada,Sujetos dispararon contra la casa del candidato,N/A,Tabasco Hoy,https://www.tabascohoy.com/balea-comando-casa-de-candidato-del-prd-a-alcalde-en-chiapas/
28/05/2024,Tehuacán,184.665,-9.740.038,Juan Sandoval,Presidente municipal ,N/A,Movimiento Ciudadano (MC),N/A,N/A,Agresión armada,Sujetos detonaron armas cerca de él ,N/A,Milenio,https://www.milenio.com/politica/elecciones/juan-sandoval-candidato-de-mc-a-edil-de-tehuacan-sufre-atentado
